Dataset,Optimizer,Topology,Emigration,ChoiceEmi,ChoiceImm,NumberEmiImm,IntervalEmiImm,ObjfName,k,ExecutionTime,SSE
balance,BAT_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,40.58,138.89
balance,FFA_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,44.79,138.9
balance,GWO_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,43.03,138.92
balance,WOA_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,43.44,139.84
balance,MVO_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,42.78,138.9
balance,MFO_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,43.75,138.91
balance,CS_mpi,RING,REMOVE,RANDOM,RANDOM,4,4,SSE,3,85.91,140.8
balance,SSA_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,43.88,138.89
balance,PSO_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,43.75,138.9
balance,GA_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,43.45,139.51
balance,BAT_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,41.4,138.89
balance,FFA_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,44.79,138.9
balance,GWO_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,44.83,138.93
balance,WOA_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,43.93,139.5
balance,MVO_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,44.04,138.9
balance,MFO_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,45.23,138.9
balance,CS_mpi,TREE,CLONE,BEST,BEST,4,4,SSE,3,85.41,140.32
balance,SSA_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,42.62,138.89
balance,PSO_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,43.64,138.91
balance,GA_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,43.77,139.56
balance,BAT_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,41.64,138.89
balance,FFA_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,45.04,138.9
balance,GWO_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,42.48,138.92
balance,WOA_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,41.18,139.66
balance,MVO_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,41.85,138.9
balance,MFO_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,42.27,138.89
balance,CS_mpi,TREE,CLONE,BEST,WORST,4,4,SSE,3,82.45,140.37
balance,SSA_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,42.64,138.89
balance,PSO_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,42.59,138.93
balance,GA_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,44.7,139.56
balance,BAT_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,41.81,138.89
balance,FFA_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,46.81,138.9
balance,GWO_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,44.02,138.92
balance,WOA_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,45.02,139.94
balance,MVO_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,43.93,138.9
balance,MFO_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,44.17,138.91
balance,CS_mpi,TREE,CLONE,BEST,RANDOM,4,4,SSE,3,88.2,140.34
balance,SSA_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,44.48,138.89
balance,PSO_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,43.6,138.91
balance,GA_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,43.88,139.67
balance,BAT_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,40.83,138.89
balance,FFA_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,46.34,138.9
balance,GWO_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,43.36,138.92
balance,WOA_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,44.62,139.94
balance,MVO_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,44.41,138.9
balance,MFO_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,44.1,138.9
balance,CS_mpi,TREE,CLONE,WORST,BEST,4,4,SSE,3,88.08,140.6
balance,SSA_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,43.84,138.89
balance,PSO_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,42.44,138.91
balance,GA_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,44.15,139.58
balance,BAT_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,41.86,138.9
balance,FFA_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,45.21,138.9
balance,GWO_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,43.89,138.93
balance,WOA_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,44.32,139.96
balance,MVO_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,44.09,138.9
balance,MFO_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,44.73,138.91
balance,CS_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,88.32,140.3
balance,SSA_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,44.51,138.9
balance,PSO_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,43.84,138.95
balance,GA_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,43.25,139.55
balance,BAT_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,41.62,138.89
balance,FFA_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,45.58,138.9
balance,GWO_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,44.15,138.92
balance,WOA_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,44.27,139.69
balance,MVO_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,43.66,138.9
balance,MFO_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,44.04,138.9
balance,CS_mpi,TREE,CLONE,WORST,RANDOM,4,4,SSE,3,85.55,140.1
balance,SSA_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,44.2,138.89
balance,PSO_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,43.63,138.92
balance,GA_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,43.31,139.7
balance,BAT_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,40.87,138.89
balance,FFA_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,46.43,138.89
balance,GWO_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,43.6,138.92
balance,WOA_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,43.69,139.62
balance,MVO_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,44.55,138.9
balance,MFO_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,44.08,138.91
balance,CS_mpi,TREE,CLONE,RANDOM,BEST,4,4,SSE,3,85.4,183.82
balance,SSA_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,44.48,138.89
balance,PSO_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,44.3,138.9
balance,GA_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,44.15,139.8
balance,BAT_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,42.07,138.89
balance,FFA_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,45.71,138.89
balance,GWO_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,43.86,138.93
balance,WOA_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,43.72,139.62
balance,MVO_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,42.61,138.9
balance,MFO_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,43.96,138.91
balance,CS_mpi,TREE,CLONE,RANDOM,WORST,4,4,SSE,3,86.32,140.65
balance,SSA_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,44.25,138.89
balance,PSO_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.12,138.98
balance,GA_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,42.65,140.27
balance,BAT_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,42.27,138.89
balance,FFA_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,45.78,138.89
balance,GWO_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,44.06,138.92
balance,WOA_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,44.18,139.66
balance,MVO_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.97,138.9
balance,MFO_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,44.52,138.92
balance,CS_mpi,TREE,CLONE,RANDOM,RANDOM,4,4,SSE,3,86.34,140.73
balance,SSA_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,44.16,138.89
balance,PSO_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,44.04,138.9
balance,GA_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,43.61,140.39
balance,BAT_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,40.66,138.89
balance,FFA_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,45.55,138.89
balance,GWO_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,43.15,138.92
balance,WOA_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,43.9,139.67
balance,MVO_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,43.58,138.9
balance,MFO_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,43.74,138.94
balance,CS_mpi,TREE,REMOVE,BEST,BEST,4,4,SSE,3,82.31,140.48
balance,SSA_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,42.38,138.89
balance,PSO_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,42.97,138.91
balance,GA_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,42.83,140.47
balance,BAT_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,41.11,138.89
balance,FFA_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,44.97,138.89
balance,GWO_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,43.46,138.92
balance,WOA_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,42.57,139.84
balance,MVO_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,43.94,138.9
balance,MFO_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,42.92,138.98
balance,CS_mpi,TREE,REMOVE,BEST,WORST,4,4,SSE,3,86.06,165.35
balance,SSA_mpi,TREE,REMOVE,BEST,RANDOM,4,4,SSE,3,43.37,138.89
balance,PSO_mpi,TREE,REMOVE,BEST,RANDOM,4,4,SSE,3,43.4,138.92
